phenomenon,initials,hanzi_norm,hanzi_trunc,pinyin_norm,pinyin_trunc,pinyin_abbrev_norm,row_mean,row_median
plural_cardinal_men_a,0.0366999999999999,0.41,0.76,0.51,0.68,0.3,0.44944999999999996,0.45999999999999996
plural_cardinal_men_b,0.0533,0.68,0.85,0.67,0.74,0.54,0.5888833333333333,0.675
preposition_deletion,0.9767,0.99,0.98,1.0,0.98,0.91,0.9727833333333334,0.98
preposition_insertion,0.9567,0.99,0.94,0.99,0.94,0.55,0.8944499999999999,0.94835
principle_A_c_command,0.0,0.4,0.47,0.0,0.0,0.0,0.145,0.0
principle_A_c_command_number,0.0,0.58,0.62,0.0,0.0,0.0,0.19999999999999998,0.0
principle_A_domain,0.0,0.74,0.51,0.0,0.0,0.0,0.20833333333333334,0.0
principle_A_domain_number,1.0,0.4,0.51,1.0,1.0,1.0,0.8183333333333334,1.0
question_A_not_A,0.1133,0.33,0.29,0.47,0.45,0.16,0.30221666666666663,0.31
question_A_not_A_daodi_a,0.4567,0.56,0.12,0.64,0.07,0.33,0.3627833333333334,0.39335
question_A_not_A_daodi_b,0.4133,0.57,0.11,0.61,0.09,0.31,0.35055,0.36165
question_A_not_A_indirect,0.0,1.0,1.0,0.99,0.91,0.18,0.68,0.95
question_V_not_VP_1,0.0,0.26,0.06,0.43,0.12,0.22,0.18166666666666667,0.16999999999999998
question_V_not_VP_2,0.2433,0.2,0.91,0.82,0.23,0.41,0.4688833333333333,0.32665
question_daodi_nandao_1,0.95,0.72,0.98,0.01,0.01,1.0,0.6116666666666666,0.835
question_daodi_nandao_2,0.0633,0.22,0.1,1.0,0.96,0.01,0.39221666666666666,0.16
question_daodi_nandao_A_not_A_intran,0.0533,0.17,0.01,1.0,0.92,0.04,0.36555000000000004,0.11165
question_daodi_nandao_A_not_A_tran,0.0733,0.25,0.06,1.0,0.92,0.03,0.3888833333333333,0.16165000000000002
question_daodi_negation,0.1632999999999999,0.66,1.0,0.88,0.96,0.89,0.7588833333333334,0.885
question_nandao_negation,0.4,0.4,0.84,0.94,0.77,0.57,0.6533333333333333,0.6699999999999999
question_nandao_raising_1_a,0.5967,0.0,1.0,1.0,0.21,1.0,0.6344500000000001,0.79835
question_nandao_raising_1_b,0.8133,0.0,1.0,1.0,0.79,0.98,0.7638833333333332,0.89665
question_nandao_raising_2,0.8933,0.58,1.0,0.96,0.86,0.9,0.8655500000000002,0.89665
question_nandao_raising_3,0.83,0.61,0.86,0.86,0.01,0.39,0.5933333333333333,0.72
